URL,Provider,Continent,Country,City,Latitude,Longitude
ap-southeast-2.ec2.cloudharmony.net,Amazon EC2,OC,AU,Sydney,-33.859099999999997976,151.20019999999999527
australia-southeast1.gce.cloudharmony.net,Google,OC,AU,Sydney,-33.859099999999997976,151.20019999999999527
australia-central.azure.cloudharmony.net,Microsoft,OC,AU,Perth,-31.947099999999998942,115.86469999999999913
sa-east-1.ec2.cloudharmony.net,Amazon EC2,SA,BR,Sao Paulo,-23.547499999999999431,-46.636099999999999
southamerica-east1.gce.cloudharmony.net,Google,SA,BR,Sao Paulo,-23.547499999999999431,-46.636099999999999
brazil-south.azure.cloudharmony.net,Microsoft,SA,BR,Campinas,-22.90350000000000108,-47.056499999999999773
ca-central-1.ec2.cloudharmony.net,Amazon EC2,NA,CA,Montreal,45.49949999999999761,-73.584800000000001318
northamerica-northeast1.gce.cloudharmony.net,Google,NA,CA,Montreal,45.49949999999999761,-73.584800000000001318
canada-central.azure.cloudharmony.net,Microsoft,NA,CA,Toronto,43.664400000000000547,-79.419499999999999318
eu-central-1.ec2.cloudharmony.net,Amazon EC2,EU,DE,Frankfurt am Main,50.118800000000000237,8.6843000000000003524
europe-west3.gce.cloudharmony.net,Google,EU,DE,Frankfurt am Main,50.118800000000000237,8.6843000000000003524
germany-westcentral.azure.cloudharmony.net,Microsoft,EU,DE,Frankfurt am Main,50.118800000000000237,8.6843000000000003524
eu-west-2.ec2.cloudharmony.net,Amazon EC2,EU,GB,London,51.516399999999997307,-0.092999999999999999333
europe-west2.gce.cloudharmony.net,Google,EU,GB,London,51.516399999999997307,-0.092999999999999999333
uk-south.azure.cloudharmony.net,Microsoft,EU,GB,London,51.516399999999997307,-0.092999999999999999333
ap-east-1.ec2.cloudharmony.net,Amazon EC2,AS,HK,Hong Kong,22.249999999999999999,114.16670000000000583
asia-east2.gce.cloudharmony.net,Google,AS,HK,Central,22.279499999999998749,114.14600000000000079
asia-east.azure.cloudharmony.net,Microsoft,AS,HK,Central,22.279499999999998749,114.14600000000000079
ap-south-1.ec2.cloudharmony.net,Amazon EC2,AS,IN,Mumbai,19.074799999999999755,72.885599999999996613
asia-south1.gce.cloudharmony.net,Google,AS,IN,Mumbai,19.074799999999999755,72.885599999999996613
india-central.azure.cloudharmony.net,Microsoft,AS,IN,Pune,18.519600000000000505,73.855400000000003047
ap-northeast-1.ec2.cloudharmony.net,Amazon EC2,AS,JP,Tokyo,35.685000000000002273,139.75139999999998962
asia-northeast1.gce.cloudharmony.net,Google,AS,JP,Tokyo,35.685000000000002273,139.75139999999998962
japan-east.azure.cloudharmony.net,Microsoft,AS,JP,Tokyo,35.685000000000002273,139.75139999999998962
ap-northeast-2.ec2.cloudharmony.net,Amazon EC2,AS,KR,Incheon,37.456200000000002604,126.72880000000000677
asia-northeast3.gce.cloudharmony.net,Google,AS,KR,Seoul,37.598500000000001364,126.97830000000000439
korea-central.azure.cloudharmony.net,Microsoft,AS,KR,Seoul,37.598500000000001364,126.97830000000000439
ap-southeast-1.ec2.cloudharmony.net,Amazon EC2,AS,SG,Ulu Bedok,1.3223000000000000309,103.94389999999999929
asia-southeast1.gce.cloudharmony.net,Google,AS,SG,Singapore,1.2928999999999999381,103.85469999999999402
asia-southeast.azure.cloudharmony.net,Microsoft,AS,SG,Singapore,1.2928999999999999381,103.85469999999999402
us-east-1.ec2.cloudharmony.net,Amazon EC2,NA,US,Ashburn,39.048099999999998032,-77.472800000000006546
us-central1.gce.cloudharmony.net,Google,NA,US,Council Bluffs,41.261899999999997134,-95.860799999999997565
us-central.azure.cloudharmony.net,Microsoft,NA,US,Des Moines,41.601500000000001477,-93.612700000000003798
