fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result0rtt,result1rtt,result2rtt,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,type,group_id,step,stored_timestamp,result1ttl,result0x,result1x,result2x,result2ttl,result1dup,result3rtt
5040,2.4.1,7,3.105.132.193,4,3.105.132.193,10.80.80.10,ICMP,42,48,179.801394,184.984237,164.792343,0,3,3,164.792343,184.984237,176.5259913333,47848471,1001040,1671120843,ping,47848471,,1671120977,,,,,,,
5020,2.2.1,36,3.105.132.193,4,3.105.132.193,192.168.2.11,ICMP,36,48,313.516823,309.951458,329.91901,0,3,3,309.951458,329.91901,317.7957636667,47848471,1001356,1671120842,ping,47848471,,1671120915,,,,,,,
5020,2.2.1,20,3.105.132.193,4,3.105.132.193,172.24.0.2,ICMP,37,48,637.39174,342.447519,338.212481,0,3,3,338.212481,637.39174,439.35058,47848471,1002289,1671120855,ping,47848471,,1671120978,,,,,,,
5080,2.6.2,1,3.105.132.193,4,3.105.132.193,172.17.0.4,ICMP,39,48,184.105376,175.39412,166.070215,0,3,3,166.070215,184.105376,175.1899036667,47848471,1002591,1671120843,ping,47848471,,1671120921,,,,,,,
5020,2.3.2,7,3.105.132.193,4,3.105.132.193,192.168.1.220,ICMP,46,48,207.28025,209.97475,208.25775,0,3,3,207.28025,209.97475,208.50425,47848471,1002601,1671120842,ping,47848471,,1671120927,,,,,,,
5040,2.4.1,42,3.105.132.193,4,3.105.132.193,172.23.0.2,ICMP,37,48,206.871156,206.154802,207.676466,0,3,3,206.154802,207.676466,206.900808,47848471,1002625,1671120842,ping,47848471,,1671120914,,,,,,,
5040,2.4.1,41,3.105.132.193,4,3.105.132.193,172.19.0.2,ICMP,36,48,321.000214,338.116055,322.844106,0,3,3,321.000214,338.116055,327.320125,47848471,1002750,1671120842,ping,47848471,,1671120926,,,,,,,
5080,2.6.2,36,3.105.132.193,4,3.105.132.193,172.17.0.2,ICMP,40,48,328.288737,328.801788,328.363806,0,3,3,328.288737,328.801788,328.484777,47848471,1003474,1671120842,ping,47848471,,1671120918,,,,,,,
5040,2.4.1,34,3.105.132.193,4,3.105.132.193,172.17.0.2,ICMP,37,48,297.770564,311.199383,305.378245,0,3,3,297.770564,311.199383,304.7827306667,47848471,1003898,1671120843,ping,47848471,,1671120907,,,,,,,
5040,2.4.1,49,3.105.132.193,4,3.105.132.193,172.17.0.2,ICMP,41,48,294.696126,302.311094,303.250645,0,3,3,294.696126,303.250645,300.085955,47848471,1004232,1671120842,ping,47848471,,1671120959,,,,,,,
