prb_id,ipv4,ipv6,country,longitude,latitude,asnv4,asnv6
28,216.147.123.239,2605:59c8:515c:4000:220:4aff:fec8:2455,US,-115.0215,35.9515,14593,14593
2365,46.32.144.116,null,DK,12.3105,55.6495,204151,null
2741,null,null,US,-85.5005,40.8775,7922,null
3110,94.225.144.153,2a02:1811:2c1b:2f00:280:a3ff:fe91:3fdd,BE,4.6975,50.9675,6848,6848
3395,80.109.231.130,null,AT,14.3115,46.6295,8412,null
4602,98.146.80.190,null,US,-117.0025,46.7285,10838,null
10099,75.60.204.91,2600:1700:2bb1:4b8f:a2f3:c1ff:fec4:4dd4,US,-84.2785,34.0215,7018,7018
10266,203.132.93.71,fda2:23d1:a700:49ef:a2f3:c1ff:fe96:1188,AU,151.2405,-33.9495,38195,null
10323,108.31.112.120,null,US,-77.2515,39.1385,701,null
10338,23.28.81.207,null,US,-83.4615,42.3215,12083,null
10386,76.117.16.125,null,US,-74.4285,39.4905,7922,null
10399,74.109.5.62,null,US,-75.6085,40.0915,701,null
10422,null,null,US,-95.4615,29.6785,7018,null
10443,70.20.54.178,null,US,-73.2005,44.4685,13977,null
10458,174.60.133.237,2601:98a:300:2fd1:a2f3:c1ff:fec4:5c3f,US,-75.6505,41.4915,7922,7922
10462,71.191.146.217,null,US,-77.5295,38.9785,701,null
10473,73.186.173.145,2601:190:4201:f6a5:a2f3:c1ff:fec4:4bbb,US,-73.1295,44.5285,7922,7922
10540,98.253.227.36,2601:246:5880:ee80:a2f3:c1ff:fec4:4a6f,US,-88.1105,42.0075,7922,7922
10553,73.17.71.173,2601:183:4601:5545:a2f3:c1ff:fec4:4b00,US,-73.4305,41.3585,7922,7922
10562,108.24.122.114,null,US,-75.1095,39.7085,701,null
10678,null,null,DE,7.8505,51.6415,3209,null
10743,98.97.33.243,fd50:dc65:8e90:41c6:a2f3:c1ff:fe96:128c,US,-122.8605,48.4785,14593,null
10755,null,null,DE,7.6795,51.9295,3320,3320
10969,98.72.216.84,null,US,-81.5395,35.9115,7018,null
11022,null,null,FR,-1.6315,47.2585,12322,12322
11251,62.163.145.144,2a02:a210:2044:2f00:a2f3:c1ff:fec4:4900,NL,4.8795,52.3875,33915,33915
11289,5.103.57.170,null,DK,12.5715,55.7115,44869,null
11500,73.33.73.238,2601:82:4380:68f8:fa1a:67ff:fe4d:83f0,US,-75.1825,39.4175,7922,7922
11795,174.99.48.124,fd49:481e:af14:7597:a2f3:c1ff:fec4:48f1,US,-78.7085,35.9195,11426,null
11815,94.217.238.162,null,DE,9.9475,53.5695,3209,null
11900,213.219.164.210,2a02:578:8514:1300:a2f3:c1ff:fec4:46df,BE,4.6675,51.1575,9031,9031
11974,93.218.72.134,2003:e5:170d:7000:a2f3:c1ff:fec4:491f,DE,7.0205,50.7195,3320,3320
12032,109.190.231.223,null,FR,-1.4815,48.2285,35540,null
12108,108.234.17.168,null,US,-96.8225,32.9815,7018,null
12121,47.208.218.46,null,US,-120.1815,39.3275,19108,null
12330,70.131.33.76,2600:1700:1390:5c1f:a2f3:c1ff:fec4:5eed,US,-90.4915,38.7775,7018,7018
12419,45.118.188.13,2402:6f80:ca7:3:fa1a:67ff:fe4d:7f6d,NZ,174.8075,-36.8885,134220,134220
12426,98.97.47.198,null,US,-120.9015,40.1205,14593,null
12438,109.215.231.64,2a01:cb10:87d6:6c00:a2f3:c1ff:fec4:44f1,FR,4.8185,46.3215,3215,3215
12475,159.250.151.172,fdc9:b0d0:744f:bcd8:a2f3:c1ff:fec4:49bc,US,-79.9995,39.9995,11776,null
