dst_addr,proto,prb_id,hops,success
3.105.132.193,ICMP,1001356,28,True
3.105.132.193,ICMP,1002601,21,True
3.105.132.193,ICMP,1002625,32,True
3.105.132.193,ICMP,1002750,28,True
3.105.132.193,ICMP,1003474,18,True
3.105.132.193,ICMP,1004232,15,True
3.105.132.193,ICMP,1004453,11,True
3.105.132.193,ICMP,1004876,27,True
3.105.132.193,ICMP,1004974,30,True
3.105.132.193,ICMP,1004978,27,True
3.105.132.193,ICMP,10443,6,True
3.105.132.193,ICMP,10743,21,True
3.105.132.193,ICMP,12426,22,True
3.105.132.193,ICMP,12538,32,True
3.105.132.193,ICMP,13667,32,True
3.105.132.193,ICMP,17024,4,True
3.105.132.193,ICMP,17615,22,True
3.105.132.193,ICMP,19648,22,True
3.105.132.193,ICMP,19983,11,True
3.105.132.193,ICMP,21028,25,True
3.105.132.193,ICMP,21481,29,True
3.105.132.193,ICMP,22802,13,True
3.105.132.193,ICMP,23087,17,True
3.105.132.193,ICMP,23127,21,True
3.105.132.193,ICMP,26705,23,True
3.105.132.193,ICMP,28,14,True
3.105.132.193,ICMP,29377,32,True
3.105.132.193,ICMP,29435,32,False
3.105.132.193,ICMP,30900,17,True
3.105.132.193,ICMP,31492,26,True
3.105.132.193,ICMP,32506,15,True
3.105.132.193,ICMP,34700,21,True
3.105.132.193,ICMP,35042,15,True
3.105.132.193,ICMP,50008,27,True
3.105.132.193,ICMP,50148,16,True
3.105.132.193,ICMP,50181,16,True
3.105.132.193,ICMP,50910,26,True
3.105.132.193,ICMP,51671,13,True
3.105.132.193,ICMP,52196,13,True
3.105.132.193,ICMP,52422,24,True
3.105.132.193,ICMP,52676,27,True
3.105.132.193,ICMP,52930,18,True
3.105.132.193,ICMP,54151,29,True
3.105.132.193,ICMP,54250,29,True
3.105.132.193,ICMP,54284,22,True
3.105.132.193,ICMP,54330,25,True
3.105.132.193,ICMP,54743,15,True
3.105.132.193,ICMP,55492,21,True
3.105.132.193,ICMP,61015,23,True
3.105.132.193,ICMP,61081,14,True
3.105.132.193,ICMP,61241,25,True
3.105.132.193,ICMP,61365,25,True
3.105.132.193,ICMP,61498,26,True
3.105.132.193,ICMP,61780,13,True
3.105.132.193,ICMP,61899,25,True
3.105.132.193,ICMP,62365,13,True
3.105.132.193,ICMP,62843,25,True
3.105.132.193,ICMP,62868,21,True
3.105.132.193,ICMP,1001040,21,True
3.105.132.193,ICMP,1002289,27,True
3.105.132.193,ICMP,1002591,31,True
3.105.132.193,ICMP,1003898,26,True
3.105.132.193,ICMP,1004482,21,True
3.105.132.193,ICMP,13376,18,True
3.105.132.193,ICMP,14102,32,False
3.105.132.193,ICMP,14111,28,True
3.105.132.193,ICMP,17950,24,True
3.105.132.193,ICMP,17979,25,True
3.105.132.193,ICMP,24550,28,True
3.105.132.193,ICMP,30566,20,True
3.105.132.193,ICMP,35681,27,True
3.105.132.193,ICMP,50017,23,True
3.105.132.193,ICMP,50180,21,True
