URL,Provider,Continent,Country,City,Latitude,Longitude
ap-southeast-1.ec2.cloudharmony.net,Amazon EC2,AS,SG,Ulu Bedok,1.3223000000000000309,103.94389999999999929
ap-southeast-2.ec2.cloudharmony.net,Amazon EC2,OC,AU,Sydney,-33.859099999999997976,151.20019999999999527
ap-northeast-1.ec2.cloudharmony.net,Amazon EC2,AS,JP,Tokyo,35.685000000000002273,139.75139999999998962
ap-northeast-2.ec2.cloudharmony.net,Amazon EC2,AS,KR,Incheon,37.456200000000002604,126.72880000000000677
us-east-1.ec2.cloudharmony.net,Amazon EC2,NA,US,Ashburn,39.048099999999998032,-77.472800000000006546
us-east-2a.ec2.cloudharmony.net,Amazon EC2,NA,US,Columbus,39.965299999999999158,-83.023499999999998523
us-east-2b.ec2.cloudharmony.net,Amazon EC2,NA,US,Columbus,39.965299999999999158,-83.023499999999998523
us-west-1.ec2.cloudharmony.net,Amazon EC2,NA,US,San Jose,37.338799999999999102,-121.89140000000000441
us-west-2.ec2.cloudharmony.net,Amazon EC2,NA,US,Boardman,45.849099999999999967,-119.71429999999999438
af-south-1.ec2.cloudharmony.net,Amazon EC2,AF,ZA,Cape Town,-33.925800000000002399,18.423200000000001352
ap-east-1.ec2.cloudharmony.net,Amazon EC2,AS,HK,Hong Kong,22.249999999999999999,114.16670000000000583
ap-south-1.ec2.cloudharmony.net,Amazon EC2,AS,IN,Mumbai,19.074799999999999755,72.885599999999996613
sa-east-1.ec2.cloudharmony.net,Amazon EC2,SA,BR,Sao Paulo,-23.547499999999999431,-46.636099999999999
me-south-1.ec2.cloudharmony.net,Amazon EC2,AS,BH,Manama,26.03330000000000055,50.549999999999997157
ca-central-1.ec2.cloudharmony.net,Amazon EC2,NA,CA,Montreal,45.49949999999999761,-73.584800000000001318
eu-central-1.ec2.cloudharmony.net,Amazon EC2,EU,DE,Frankfurt am Main,50.118800000000000237,8.6843000000000003524
eu-west-1.ec2.cloudharmony.net,Amazon EC2,EU,IE,Dublin,53.333100000000001729,-6.2488999999999998991
eu-west-2.ec2.cloudharmony.net,Amazon EC2,EU,GB,London,51.516399999999997307,-0.092999999999999999333
eu-west-3.ec2.cloudharmony.net,Amazon EC2,EU,FR,Paris,48.860700000000001352,2.3281000000000000582
eu-south-1.ec2.cloudharmony.net,Amazon EC2,EU,IT,Milan,45.464300000000001491,9.1895000000000006679
eu-north-1.ec2.cloudharmony.net,Amazon EC2,EU,SE,Stockholm,59.333300000000001261,18.05000000000000071
us-west1.gce.cloudharmony.net,Google,NA,US,The Dalles,45.599899999999998099,-121.18710000000000093
us-west2-a.gce.cloudharmony.net,Google,NA,US,Los Angeles,34.054400000000001114,-118.24399999999999976
us-west2-b.gce.cloudharmony.net,Google,NA,US,Los Angeles,34.054400000000001114,-118.24399999999999976
us-west2-c.gce.cloudharmony.net,Google,NA,US,Los Angeles,34.054400000000001114,-118.24399999999999976
us-west3.gce.cloudharmony.net,Google,NA,US,Salt Lake City,40.759199999999999874,-111.88750000000000283
us-west4.gce.cloudharmony.net,Google,NA,US,Las Vegas,36.168500000000001648,-115.11639999999999872
us-east1.gce.cloudharmony.net,Google,NA,US,North Charleston,32.860799999999997567,-79.974599999999995249
us-east4.gce.cloudharmony.net,Google,NA,US,Washington,38.893900000000002138,-77.036500000000003749
us-central1.gce.cloudharmony.net,Google,NA,US,Council Bluffs,41.261899999999997134,-95.860799999999997565
